Datum;Jaar;Periode;Grootboekrekening Code;Type;Attribuut;Bedrag;Transactie;;
31-12-2019;2019;12;2100;B;D;112.550,00;;;
31-12-2019;2019;12;2150;B;C;-112.550,00;;;
31-12-2019;2019;12;2300;B;D;31.693,20;;;
31-12-2019;2019;12;2350;B;C;-8.936,20;;;
31-12-2019;2019;12;2400;B;D;530,5;;;
31-12-2019;2019;12;2450;B;C;-334,5;;;
31-12-2019;2019;12;2600;B;D;95.170,00;;;
31-12-2019;2019;12;2650;B;C;-30.847,00;;;
31-12-2019;2019;12;2999;B;C;-87.276,00;;;
31-12-2019;2019;12;3550;B;D;0;;;
31-12-2019;2019;12;7901;B;D;0;;;
31-12-2019;2019;12;7902;B;D;0;;;
31-12-2019;2019;12;7903;B;D;0;;;
31-12-2019;2019;12;8000;B;D;0;;;
31-12-2019;2019;12;8400;B;D;0;;;
31-12-2019;2019;12;11000;B;D;82.296,32;;;
31-12-2019;2019;12;11099;B;C;-82.296,32;;;
31-12-2019;2019;12;13000;B;D;0;;;
31-12-2019;2019;12;13001;B;D;0;;;
31-12-2019;2019;12;13350;B;D;0;;;
31-12-2019;2019;12;13690;B;D;0;;;
31-12-2019;2019;12;15000;B;D;0;;;
31-12-2019;2019;12;16000;B;D;0;;;
31-12-2019;2019;12;16001;B;D;0;;;
31-12-2019;2019;12;16980;B;D;0;;;
31-12-2019;2019;12;17010;B;D;0;;;
31-12-2019;2019;12;17110;B;D;0;;;
31-12-2019;2019;12;17500;B;D;0;;;
31-12-2019;2019;12;18000;B;D;0;;;
31-12-2019;2019;12;18800;B;D;0;;;
31-12-2019;2019;12;18990;B;D;0;;;
31-12-2019;2019;12;20200;B;D;0;;;
31-12-2019;2019;12;20201;B;D;0;;;
31-12-2019;2019;12;20204;B;D;0;;;
31-12-2019;2019;12;20209;Peter Bouw Creative Enterprises B.V. (Langlopend);B;D;;;
31-12-2019;2019;12;24000;B;D;0;;;
31-12-2019;2019;12;30100;B;D;0;;;
12-2-2020;2020;2;18000;B;D;988,26;1995;;
12-2-2020;2020;2;18000;B;C;-988,26;1995;;
15-2-2020;2020;2;18800;B;C;-163,93;1994;;
15-2-2020;2020;2;18800;B;C;-160,34;1993;;
15-2-2020;2020;2;18800;B;D;163,93;1994;;
15-2-2020;2020;2;18800;B;D;160,34;1993;;
29-2-2020;2020;2;24000;B;D;0;16511;;
6-3-2020;2020;3;18800;B;C;-233,1;1998;;
6-3-2020;2020;3;18800;B;D;233,1;1998;;
7-3-2020;2020;3;16000;B;C;-652,38;16711;;
7-3-2020;2020;3;16000;B;D;652,38;16709;;
7-3-2020;2020;3;18800;B;C;-113,23;1997;;
